lookback,type,profit_factor,log_profit_factor,mean_return,sharpe,n_trades,runs_z_score
48,After Winner,1.015654271465456,0.015533007255862482,4.177167782391159e-05,0.004485317816055163,14399.0,
48,Runs Z-Score,,,,,,0.6452826922425626
54,All Trades,1.0342112063351137,0.03363901667365989,8.325109924322366e-05,0.009916533031700342,43691.0,
54,After Loser,1.0512601312502565,0.04998956959533011,0.00011979729621678544,0.014993269632335536,28507.0,
54,After Winner,1.0046523955617475,0.004641606619525767,1.2106547871779906e-05,0.0013328745322793588,15025.0,
54,Runs Z-Score,,,,,,1.4320175688612804
60,All Trades,1.0286212040987102,0.028219268669544974,6.975438340655237e-05,0.008316094255451727,43691.0,
60,After Loser,1.045562440768991,0.04455496145946279,0.00010738282730336528,0.013293481613819892,28799.0,
60,After Winner,0.9982187032717215,-0.0017828851238451083,-4.606763155690226e-06,-0.0005148557970867267,14723.0,
60,Runs Z-Score,,,,,,1.3155696372941128
66,All Trades,1.0292640343466708,0.028844017082974363,7.129846890749552e-05,0.008500192769382743,43691.0,
66,After Loser,1.0481877551074716,0.047062725489296235,0.0001141410586931808,0.013771896493603334,29112.0,
66,After Winner,0.9937531613576176,-0.00626643177828562,-1.602251449672673e-05,-0.0018697744827363542,14410.0,
66,Runs Z-Score,,,,,,1.8525004124016256
72,All Trades,1.023099982676206,0.022837216970107238,5.645194008535921e-05,0.006730101114165301,43691.0,
72,After Loser,1.044389577529438,0.043432578407211285,0.0001072300932897477,0.012775028952779282,28470.0,
72,After Winner,0.9840908871929621,-0.016037021161772604,-3.958450245826602e-05,-0.004735677381602784,15047.0,
72,Runs Z-Score,,,,,,1.7731649279867558
78,All Trades,1.026738824025399,0.02638758898925149,6.522725170449307e-05,0.007776337357054725,43691.0,
78,After Loser,1.0463517541517098,0.045309594151466,0.00011398907761508708,0.013066650677514337,27808.0,
78,After Winner,0.9926794298670115,-0.0073474970003547,-1.75143021972752e-05,-0.002266639616720257,15708.0,
78,Runs Z-Score,,,,,,1.7015742794984858
84,All Trades,1.0233716530458807,0.0231027182030865,5.71081817886699e-05,0.006808340702812237,43691.0,
84,After Loser,1.0446892163828845,0.0437194405939075,0.00011100442052734675,0.01263480005586155,27833.0,
84,After Winner,0.985171200599177,-0.014939845197958624,-3.499322764366621e-05,-0.004604551533955176,15683.0,
84,Runs Z-Score,,,,,,1.9539478922057179
90,All Trades,1.0234818117070128,0.023210355279345615,5.7374228712803765e-05,0.006840059847025391,43691.0,
90,After Loser,1.043696153976998,0.04276840684809597,0.00010772969701908593,0.012312231804634002,28030.0,
90,After Winner,0.9874380245583242,-0.012641544117285144,-3.0004904784576857e-05,-0.003926054583117842,15482.0,
90,Runs Z-Score,,,,,,1.9349817774899634
96,All Trades,1.025753482106468,0.02542744702751661,6.285414570131541e-05,0.0074934014953515204,43691.0,
96,After Loser,1.048005003023551,0.046888359764889705,0.00011438340737303866,0.013381215222711861,28509.0,
96,After Winner,0.9897986184529003,-0.010253772249422977,-2.581069531507647e-05,-0.0032253881629176868,15002.0,
96,Runs Z-Score,,,,,,1.8448777057785568
102,All Trades,1.0215643449720628,0.021335123964312478,5.273916696759807e-05,0.006287452711743087,43691.0,
102,After Loser,1.0415685856211119,0.04072783228339825,9.93233596260723e-05,0.011603963127128174,28801.0,
102,After Winner,0.9885286617542531,-0.01153764159277599,-2.908004611654744e-05,-0.0036497727133246007,14710.0,
102,Runs Z-Score,,,,,,1.475748259561836
108,All Trades,1.019159873624678,0.018978634598281835,4.690045365565824e-05,0.005592768364482538,43691.0,
108,After Loser,1.0466072148811625,0.04555370856985746,0.00011071039144457578,0.013016709656229409,29942.0,
108,After Winner,0.9694207188105252,-0.03105658298047705,-7.905256773700369e-05,-0.009828760513382573,13569.0,
108,Runs Z-Score,,,,,,2.5418919806319824
114,All Trades,1.0244568829662002,0.024162601882629524,5.970952313220264e-05,0.007120179248690848,43691.0,
114,After Loser,1.0485441688586927,0.0474026962319363,0.00011655402913653431,0.013576039196414726,29422.0,
114,After Winner,0.982543504618841,-0.0176106567087586,-4.3705726356098284e-05,-0.005545379921078396,14089.0,
114,Runs Z-Score,,,,,,2.1446570961008407
120,All Trades,1.0254729117820347,0.025153883536895596,6.215783045647958e-05,0.007412029569113004,43691.0,
120,After Loser,1.0446614610386835,0.04369287220162895,0.00010818299354337993,0.01254862768555517,29215.0,
120,After Winner,0.9937433627776502,-0.006276292001786394,-1.535513466264422e-05,-0.0019655210827924526,14296.0,
120,Runs Z-Score,,,,,,1.4344896803959943
