,To_P0,To_P1,To_P2,To_P3,To_P4,To_P5
From_P0,0.30298527623936244,0.0,0.0,0.3037957584762934,0.3932189652843442,0.0
From_P1,0.334188679245283,0.0,0.0,0.4780377358490566,0.18777358490566037,0.0
From_P2,0.46680399302804626,0.0,0.0,0.1956900649659325,0.33750594200602124,0.0
From_P3,0.0,0.23665614193354384,0.19155014283566382,0.0,0.0,0.5717937152307924
From_P4,0.0,0.20350039777247414,0.3807478122513922,0.0,0.0,0.41575178997613366
From_P5,0.0,0.35770507349454717,0.2507349454717876,0.0,0.0,0.39155998103366524
