,To_P0,To_P1,To_P2,To_P3,To_P4,To_P5
From_P0,0.4357767316745124,0.0,0.0,0.2909981746565472,0.2732250936689403,0.0
From_P1,0.46592317224287483,0.0,0.0,0.37617277394229065,0.1579040538148345,0.0
From_P2,0.5225806451612903,0.0,0.0,0.18419354838709678,0.2932258064516129,0.0
From_P3,0.0,0.30987928843710294,0.1826556543837357,0.0,0.0,0.5074650571791613
From_P4,0.0,0.17176809506661866,0.3822470291681671,0.0,0.0,0.4459848757652143
From_P5,0.0,0.2825370675453048,0.3014827018121911,0.0,0.0,0.4159802306425041
